clade,taxon
Australidelphia,Psueodochirops_corinnae
Australidelphia,Sminthopsis_crassicaudata
Australidelphia,Lasiorhinus_latifrons
Australidelphia,Cercartetus_caudatus
Australidelphia,Pseudocheirus_occidentalis
Australidelphia,Dactylopsila_palpator
Australidelphia,Macrotis_leucura
Australidelphia,Rhynchomeles_prattorum
Australidelphia,Antechinomys_laniger
Australidelphia,Echymipera_rufescens
Australidelphia,Burramys_parvus
Australidelphia,Perameles_nasuta
Australidelphia,Antechinus_godmani
Australidelphia,Sminthopsis_aitkeni
Australidelphia,Vombatus_ursinus
Australidelphia,Dasyurus_geffroii
Australidelphia,Trichosurus_vulpecula
Australidelphia,Macrotis_lagotis
Australidelphia,Petaurus_norfolcensis
Australidelphia,Thylogale_thetis
Australidelphia,Chaeropus_ecaudatus
Australidelphia,Spilocuscus_maculatus
Australidelphia,Aepyprymnus_rufescens
Australidelphia,Bettongia_lesueur
Australidelphia,Echymipera_clara
Australidelphia,Peroryctes_raffrayana
Australidelphia,Planigale_gilesi
Australidelphia,Neophascogale_lorentzii
Australidelphia,Phascogale_tapoatafa
Australidelphia,Phascogale_calura
Australidelphia,Petauroides_volans
Australidelphia,Phascomurexia_naso
Australidelphia,Dasyuroides_byrnei
Australidelphia,Osphranter_rufus
Australidelphia,Dorcopsis_muelleri
Australidelphia,Ningaui_timealeyi
Australidelphia,Petrogale_rothschildi
Australidelphia,Perameles_gunnii
Australidelphia,Sarcophilus_harrisii
Australidelphia,Microperoryctes_longicauda
Australidelphia,T_cynocephalus
Australidelphia,Microperoryctes_papuensis
Australidelphia,Dasykaluta_rosamondae
Australidelphia,Strigocuscus_celebensis
Australidelphia,Isoodon_obesulus
Australidelphia,Potorous_tridactylus
Australidelphia,Phalanger_vestitus
Australidelphia,Pseudantechinus_bilarni
Australidelphia,Notamacropus_rufogriseus
Australidelphia,Dorcopsulus_vanheurni
Australidelphia,Petrogale_purpureicollis
Australidelphia,Bettongia_penicillata
Australidelphia,Petropseudes_dahli
Australidelphia,Murexechinus_melanurus
Australidelphia,Dasyurus_hallucatus
Australidelphia,Gymnobelideus_leadbeateri
Australidelphia,Phalanger_matanim
Australidelphia,Ellipsis
Australidelphia,Dasycercus_blythi
Australidelphia,Dasycercus_cristicauda
Australidelphia,Myoictis_wavicus
Australidelphia,Planigale_maculata
Australidelphia,Strigocuscus_pelengensis
Australidelphia,Onychogalea_unguifera
Australidelphia,Pseudantechinus_mimulus
Australidelphia,Pseudocheirus_peregrinus
Australidelphia,Pseudochirulus_cinereus
Australidelphia,Paramurexia_rothschildi
Australidelphia,Ailurops_ursinus
Australidelphia,Cercartetus_concinnus
Australidelphia,Micromurexia_habbema
Australidelphia,Myrmecobius_fasciatus
Australidelphia,Wyulda_squamicaudata
Australidelphia,Dendrolagus_lumholtzi
Australidelphia,Murexia_longicaudata
Australidelphia,Isoodon_auratus
Australidelphia,Myoictis_leucura
Australidelphia,Ningaui_ridei
Australidelphia,Phascolosorex_dorsalis
Australidelphia,Antechinus_minimus
Australidelphia,Pseudochirops_cupreus
Australidelphia,Dactylopsila_trivirgata
Australidelphia,Osphranter_robustus
Australidelphia,Spilocuscus_kraemeri
Dasyuromorphia,Sminthopsis_aitkeni
Dasyuromorphia,Pseudantechinus_bilarni
Dasyuromorphia,Dasycercus_blythi
Dasyuromorphia,Dasyuroides_byrnei
Dasyuromorphia,Phascogale_calura
Dasyuromorphia,Sminthopsis_crassicaudata
Dasyuromorphia,Dasycercus_cristicauda
Dasyuromorphia,T_cynocephalus
