clade,taxon
Australidelphia,91
Australidelphia,96
Australidelphia,39
Australidelphia,12
Australidelphia,85
Australidelphia,15
Australidelphia,43
Australidelphia,92
Australidelphia,4
Australidelphia,31
Australidelphia,9
Australidelphia,65
Australidelphia,5
Australidelphia,95
Australidelphia,106
Australidelphia,21
Australidelphia,105
Australidelphia,42
Australidelphia,69
Australidelphia,104
Australidelphia,14
Australidelphia,98
Australidelphia,2
Australidelphia,7
Australidelphia,30
Australidelphia,66
Australidelphia,80
Australidelphia,53
Australidelphia,76
Australidelphia,75
Australidelphia,67
Australidelphia,79
Australidelphia,20
Australidelphia,62
Australidelphia,27
Australidelphia,55
Australidelphia,71
Australidelphia,64
Australidelphia,93
Australidelphia,45
Australidelphia,101
Australidelphia,46
Australidelphia,19
Australidelphia,99
Australidelphia,36
Australidelphia,82
Australidelphia,74
Australidelphia,83
Australidelphia,57
Australidelphia,28
Australidelphia,70
Australidelphia,8
Australidelphia,72
Australidelphia,48
Australidelphia,22
Australidelphia,32
Australidelphia,73
Australidelphia,17
Australidelphia,18
Australidelphia,51
Australidelphia,81
Australidelphia,100
Australidelphia,60
Australidelphia,84
Australidelphia,86
Australidelphia,90
Australidelphia,63
Australidelphia,3
Australidelphia,13
Australidelphia,44
Australidelphia,52
Australidelphia,108
Australidelphia,23
Australidelphia,49
Australidelphia,35
Australidelphia,50
Australidelphia,54
Australidelphia,78
Australidelphia,6
Australidelphia,88
Australidelphia,16
Australidelphia,61
Australidelphia,97
Dasyuromorphia,95
Dasyuromorphia,83
Dasyuromorphia,17
Dasyuromorphia,20
Dasyuromorphia,75
Dasyuromorphia,96
Dasyuromorphia,18
Dasyuromorphia,101
Dasyuromorphia,78
Dasyuromorphia,52
Dasyuromorphia,21
Dasyuromorphia,80
Dasyuromorphia,5
Dasyuromorphia,44
Dasyuromorphia,22
Dasyuromorphia,93
Dasyuromorphia,4
Dasyuromorphia,50
Dasyuromorphia,49
Dasyuromorphia,53
Dasyuromorphia,81
Dasyuromorphia,48
Dasyuromorphia,84
Dasyuromorphia,6
Dasyuromorphia,79
Dasyuromorphia,54
Dasyuromorphia,19
Dasyuromorphia,63
Dasyuromorphia,76
Dasyuromorphia,55
Dasyuromorphia,51
Peramelemorphia,35
Peramelemorphia,30
Peramelemorphia,14
Peramelemorphia,64
Peramelemorphia,42
Peramelemorphia,43
Peramelemorphia,45
Peramelemorphia,65
Peramelemorphia,36
Peramelemorphia,46
Peramelemorphia,92
Peramelemorphia,66
Peramelemorphia,31
Phalangeridae+Burramyidae,12
Phalangeridae+Burramyidae,13
Phalangeridae+Burramyidae,99
Phalangeridae+Burramyidae,97
Phalangeridae+Burramyidae,98
Phalangeridae+Burramyidae,73
Phalangeridae+Burramyidae,74
Phalangeridae+Burramyidae,9
Phalangeridae+Burramyidae,100
Phalangeridae+Burramyidae,108
Phalangeridae+Burramyidae,3
Phalangeridae+Burramyidae,105
Petauridae+Pseudocheiridae,90
Petauridae+Pseudocheiridae,91
Petauridae+Pseudocheiridae,88
Petauridae+Pseudocheiridae,72
Petauridae+Pseudocheiridae,32
Petauridae+Pseudocheiridae,69
Petauridae+Pseudocheiridae,85
Petauridae+Pseudocheiridae,15
Petauridae+Pseudocheiridae,86
Petauridae+Pseudocheiridae,16
Petauridae+Pseudocheiridae,67
Vombatiformes,39
Vombatiformes,106
Macropodidae+Potoroidae,7
Macropodidae+Potoroidae,23
Macropodidae+Potoroidae,27
Macropodidae+Potoroidae,8
Macropodidae+Potoroidae,70
Macropodidae+Potoroidae,61
Macropodidae+Potoroidae,71
Macropodidae+Potoroidae,2
Macropodidae+Potoroidae,57
Macropodidae+Potoroidae,62
Macropodidae+Potoroidae,104
Macropodidae+Potoroidae,82
Macropodidae+Potoroidae,60
Macropodidae+Potoroidae,28
Antechinus+phascogale,75
Antechinus+phascogale,5
Antechinus+phascogale,6
Antechinus+phascogale,76
Dasyurus+Phascolosorex,78
Dasyurus+Phascolosorex,21
Dasyurus+Phascolosorex,22
Isoodon+Perameles,35
Isoodon+Perameles,64
Isoodon+Perameles,65
Isoodon+Perameles,36
